Company Name,Plant name,Address,Contact Details
"Triveni Engineering and Industries Ltd., Chhapna, Uttar Pradesh",Chandanpur,"Vill. Chandanpur, PO. Chhapna, Teh. Hasanpur, Dist. Amroha","(05924) 267002 to 04,07,09"
"The Kisan Sahkari Chini Mills Ltd., Hasanpur, Uttar Pradesh",Gajraula,"Gajraula-Hasanpur,",(05924) 264167
"Wave Industries Pvt. Ltd., Dhanaura, Uttar Pradesh",Dhanaura,"Vill. Malaysia,  Teh. Dhanaura,",(05924) 273045 to 47
"Wave Industrial Ltd., Amroha, Uttar Pradesh",Amroha,PO. Kundan Nagar,
