Company Name,Plant name,Address,Contact Details
"Shri Kondeshwar Sahakari Sakhar Karkhana Ltd., Fubgaon, Maharashtra",N.A.,"Ramnagar, Fubgaon, Teh. Nandgaon Khandeshwar","(0721) 2662025, 2662522"
"Shri Ambadevi Sahakari Sakhar Karkhana Ltd., Anjangaon, Maharashtra",N.A.,"Nityanand Nagar, Dahigaon (Recha) Road, Teh. Anjangaon","(07224) 242153, 242151"
"Shetkari Sahakari Sakhar Karkhana Ltd., Amarvati, Maharashtra",N.A.,"Dhamangaon Railway, Teh. Dhamangaon Railway",(0721) 2662025
"Vidarbha Sugar Mills Pvt. Ltd., Tivsa, Maharashtra",Kurha,"Kurha, Teh. Tivsa",
